Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Mittimatalik,2019,2019-08-18,SKIN,CM316,ARPI-2019-02,ARPI-2019-02,M,0,0,ARPI-2019-02,1,ECAG1,1,mean,-19.24,-14.12,-16.49,-7.93,,-14.65,-24.85,-17.73,-21.89,-26.94,-13.51,-7.34,-2.68,-26.45,-19.23
Mittimatalik,2019,2019-08-18,SKIN,CM317,ARPI-2019-03 ,ARPI-2019-03 ,M,0,0,ARPI-2019-03 ,1,ECAG1,1,mean,-19.48,-14.58,-16.88,-7.86,,-15.52,-25.9,-18.56,-22.08,-27.42,-13.78,-6.77,-3.94,-27.1,-20.02
Mittimatalik,2019,2019-08-19,SKIN,CM318,ARPI-2019-04,ARPI-2019-04,F,0,0,ARPI-2019-04,1,ECAG1,1,mean,-20.04,-15.78,-17.49,-8.93,,-16.73,-26.28,-19.53,-23.63,-28.08,-14.46,-7.47,-6.88,-28.45,-20.82
Mittimatalik,2019,2019-08-21,SKIN,CM319,ARPI-2019-06,ARPI-2019-06,F,0,0,ARPI-2019-06,1,ECAG1,1,mean,-21.11,-16.53,-17.75,-9.55,,-16.64,-26.98,-19.36,-23.86,-28.71,-14.82,-7.18,-7.21,-28.3,-21.73
Mittimatalik,2019,2019-08-21,SKIN,CM320,ARPI-2019-07,ARPI-2019-07,M,0,0,ARPI-2019-07,1,ECAG1,1,mean,-22.49,-15.8,-17.77,-9.56,,-16.27,-26.75,-18.69,-22.56,-27.99,-14.14,-7.39,-6.77,-28.01,-21.57
Mittimatalik,2019,2019-08-29,SKIN,CM321,ARPI-2019-08,ARPI-2019-08,M,0,0,ARPI-2019-08,1,ECAG1,1,mean,-22.76,-15.92,-17.21,-8.62,,-15.66,-25.87,-18.72,-22.66,-27.8,-13.47,-5.83,-5.84,-27.57,-20.68
Mittimatalik,2019,2019-08-29,SKIN,CM322,ARPI-2019-09,ARPI-2019-09,F,0,0,ARPI-2019-09,1,ECAG1,1,mean,-20.42,-15.87,-17.6,-8.59,,-15.19,-26.43,-19.29,-22.83,-28.32,-14.01,-6.31,-6.59,-28.51,-21.41
Mittimatalik,2019,2019-08-29,SKIN,CM323,ARPI-2019-10,ARPI-2019-10,M,0,0,ARPI-2019-10,1,ECAG1,1,mean,-19.11,-14.82,-16.54,-8.69,,-15.44,-25.29,-16.93,-21.24,-26.91,-13.54,-4.16,-5.38,-26.59,-21.09
Mittimatalik,2019,2019-08-29,SKIN,CM324,ARPI-2019-11,ARPI-2019-11,F,0,0,ARPI-2019-11,1,ECAG1,1,mean,-19.03,-14.84,-16.53,-7.43,,-15.53,-25.7,-17.91,-22.56,-27.32,-13.19,-4.36,-6.21,-27.43,-20.87
Ittoqqortoormiit,2021,,SKIN,CM325,GRNL-KW-2021-01,GRNL-KW-2021-01,F,0,0,GRNL-KW-2021-01,1,ECAG1,1,mean,-19.54,-14.01,-17.08,-9.01,,-15.34,-26.05,-17.16,-21.61,-26.16,-14.46,-4.23,-4.84,-26.85,-21.61
Nuuk,2021,2021-11-25,SKIN,CM326,GRNL-KW-2021-02,GRNL-KW-2021-02,F,0,0,GRNL-KW-2021-02,1,ECAG2,1,mean,-18.51,-15.7,-17.23,-8.8,,-16.73,-28.11,-17.83,-24.74,-26.65,-15.3,-6.63,-6.97,-27.85,-22.93
Ittoqqortoormiit,2021,,SKIN,CM327,GRNL-KW-2021-03,GRNL-KW-2021-03,M,0,0,GRNL-KW-2021-03,1,ECAG1,1,mean,-20.69,-13.45,-17.1,-6.29,,-12.98,-25.39,-15.81,-23.36,-26.93,-14.05,-7.47,-3.7,-26.77,-20.18
Pangnirtung,2021,2021-08-19,SKIN,CM328,KW-2021-PG-03,Kw-2021-PG-03,M,0,1,KW-2020-PG-01,1,ECAG1,1,mean,-17.57,-13.95,-15.39,-6.86,,-14.82,-24.88,-16.99,-22.55,-26.59,-12.82,-5.01,-4.81,-26.39,-19.65
Pangnirtung,2021,2021-08-19,SKIN,CM329,KW-2021-PG-04,Kw-2021-PG-04,F,0,0,Kw-2021-PG-04,1,ECAG1,1,mean,-16.96,-13.48,-15.32,-4.97,,-14.86,-24.9,-16.45,-21.73,-26.51,-12.87,-3.2,-4.52,-26.77,-20.11
Pangnirtung,2021,2021-08-19,SKIN,CM330,KW-2021-PG-05,Kw-2021-PG-05,F,0,1,KW-2020-PG-03,1,ECAG1,1,mean,-17.4,-14.47,-15.93,-6.64,,-14.56,-25,-17.65,-22.46,-27.15,-13.57,-4.67,-4.87,-27.59,-21.26
Pangnirtung,2021,2021-08-29,SKIN,CM331,KW-2021-PG-06,Kw-2021-PG-06,M,0,1,ARPI-2018-02 ,1,ECAG1,1,mean,-20.04,-15.09,-16.55,-5.68,,-15.1,-25.58,-17.62,-22.09,-26.55,-13.25,-5.64,-4.85,-27.61,-21.65
