Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Mittimatalik,2018,2018-08-27,SKIN,CM310,ARPI-2018-06,ARPI-2018-06,F,0,0,ARPI-2018-06,0,ECAG1,,mean,20.9215,20.0295,23.6285,3.375,24.6395,23.2255,7.399,13.879,12.0175,31.77,13.395,-47.788,8.0145,25.959
Mittimatalik,2018,2018-09-08,SKIN,CM311,ARPI-2018-10,ARPI-2018-10,F,0,0,ARPI-2018-10,1,ECAG1,1,mean,21.7045,19.7455,24.1735,5.7545,24.8155,23.6455,7.2615,14.4245,12.3705,31.716,14.12,-45.1415,7.1575,25.6435
Mittimatalik,2018,2018-09-08,SKIN,CM312,ARPI-2018-13,ARPI-2018-13,F,0,1,ARPI-2018-13,1,ECAG1,,mean,21.862,19.919,24.0025,4.9225,24.831,23.5455,7.27,13.3615,11.5435,30.7155,13.933,-48.3775,6.912,25.289
Mittimatalik,2018,2018-09-10,SKIN,CM313,ARPI-2018-15,ARPI-2018-15,M,0,0,ARPI-2018-15,1,ECAG1,1,mean,23.2175,21.8345,25.3025,11.378,26.295,24.0795,8.8525,17.5155,16.609,31.767,16.1065,-45.8305,8.1165,26.8435
Mittimatalik,2018,2018-09-10,SKIN,CM314,ARPI-2018-18,ARPI-2018-18,M,0,0,ARPI-2018-18,1,ECAG1,1,mean,21.9365,20.58,24.1425,3.8965,26.97,24.476,7.0735,13.491,11.2605,31.704,15.102,-46.9735,10.1885,26.9065
Mittimatalik,2019,2019-08-18,SKIN,CM315,ARPI-2019-01,ARPI-2019-01,M,0,0,ARPI-2019-01,1,ECAG1,1,mean,22.469,22.5955,26.1305,7.556,24.456,24.4205,7.412,17.4035,15.3905,33.952,17.6685,-43.5515,10.4605,27.39
Mittimatalik,2019,2019-08-18,SKIN,CM316,ARPI-2019-02,ARPI-2019-02,M,0,0,ARPI-2019-02,1,ECAG1,1,mean,23.2935,23.2685,26.469,5.031,25.66,24.9755,8.479,15.7165,15.788,33.2015,17.302,-45.4515,9.1805,27.7545
Mittimatalik,2019,2019-08-18,SKIN,CM317,ARPI-2019-03 ,ARPI-2019-03 ,M,0,0,ARPI-2019-03 ,1,ECAG1,1,mean,22.84,22.5075,25.9015,6.946,25.156,24.4495,8.8195,16.403,14.6705,33.9085,17.8565,-41.4005,9.181,26.928
Mittimatalik,2019,2019-08-19,SKIN,CM318,ARPI-2019-04,ARPI-2019-04,F,0,0,ARPI-2019-04,1,ECAG1,1,mean,22.7895,20.4795,23.4135,5.115,24.332,24.084,5.4105,15.008,14.0975,31.6045,15.7325,-47.2985,7.304,25.54
Mittimatalik,2019,2019-08-21,SKIN,CM319,ARPI-2019-06,ARPI-2019-06,F,0,0,ARPI-2019-06,1,ECAG1,1,mean,22.2125,20.605,23.46,9.0735,22.998,23.7215,5.922,15.1625,12.437,30.776,15.494,-46.776,6.226,25.3225
Mittimatalik,2019,2019-08-21,SKIN,CM320,ARPI-2019-07,ARPI-2019-07,M,0,0,ARPI-2019-07,1,ECAG1,1,mean,22.2545,20.855,23.568,6.357,23.347,23.864,6.8255,17.1045,14.79,32.3175,16.1025,-45.477,9.9945,25.612
Mittimatalik,2019,2019-08-29,SKIN,CM321,ARPI-2019-08,ARPI-2019-08,M,0,0,ARPI-2019-08,1,ECAG1,1,mean,22.7725,21.193,23.9325,4.712,25.1575,24.713,5.08,15.7755,12.7945,32.169,15.4875,-48.596,10.928,25.9965
Mittimatalik,2019,2019-08-29,SKIN,CM322,ARPI-2019-09,ARPI-2019-09,F,0,0,ARPI-2019-09,1,ECAG1,1,mean,22.4935,20.3845,23.6685,7.905,23.0075,23.171,5.6625,14.9825,13.7875,31.3735,13.434,-51.0295,6.659,25.001
Mittimatalik,2019,2019-08-29,SKIN,CM323,ARPI-2019-10,ARPI-2019-10,M,0,0,ARPI-2019-10,1,ECAG1,1,mean,23.1075,20.914,24.5065,11.3145,25.0665,24.3085,6.4645,16.7235,13.1865,31.5735,15.261,-48.7255,10.3535,25.846
Mittimatalik,2019,2019-08-29,SKIN,CM324,ARPI-2019-11,ARPI-2019-11,F,0,0,ARPI-2019-11,1,ECAG1,1,mean,20.828,19.589,23.17,6.907,22.549,23.116,5.1155,15.4215,12.423,31.1765,14.819,-48.0265,6.877,24.5955
